# epsilon     r     avg_deviation
0.0001     19     0
0.0002     18     0.476366
0.0003     17     1.6739
0.0004     17     1.6739
0.0005     16     4.53185
0.0006     16     4.53185
0.0007     16     4.53185
0.0008     16     4.53185
0.0009     16     4.53185
0.001     15     9.96472
0.0011     15     9.96472
0.0012     15     9.96472
0.0013     15     9.96472
0.0014     15     9.96472
0.0015     15     9.96472
0.0016     15     9.96472
0.0017     15     9.96472
0.0018     15     9.96472
0.0019     15     9.96472
0.002     14     21.0138
0.0021     14     21.0138
0.0022     14     21.0138
0.0023     14     21.0138
0.0024     14     21.0138
0.0025     14     21.0138
0.0026     14     21.0138
0.0027     14     21.0138
0.0028     14     21.0138
0.0029     14     21.0138
0.003     14     21.0138
0.0031     14     21.0138
0.0032     14     21.0138
0.0033     14     21.0138
0.0034     14     21.0138
0.0035     14     21.0138
0.0036     14     21.0138
0.0037     14     21.0138
0.0038     14     21.0138
0.0039     14     21.0138
0.004     13     42.8312
0.0041     13     42.8312
0.0042     13     42.8312
0.0043     13     42.8312
0.0044     13     42.8312
0.0045     13     42.8312
0.0046     13     42.8312
0.0047     13     42.8312
0.0048     13     42.8312
0.0049     13     42.8312
0.005     13     42.8312
0.0051     13     42.8312
0.0052     13     42.8312
0.0053     13     42.8312
0.0054     13     42.8312
0.0055     13     42.8312
0.0056     13     42.8312
0.0057     13     42.8312
0.0058     13     42.8312
0.0059     13     42.8312
0.006     13     42.8312
0.0061     13     42.8312
0.0062     13     42.8312
0.0063     13     42.8312
0.0064     13     42.8312
0.0065     13     42.8312
0.0066     13     42.8312
0.0067     13     42.8312
0.0068     13     42.8312
0.0069     13     42.8312
0.007     13     42.8312
0.0071     13     42.8312
0.0072     13     42.8312
0.0073     13     42.8312
0.0074     13     42.8312
0.0075     13     42.8312
0.0076     13     42.8312
0.0077     13     42.8312
0.0078     13     42.8312
0.0079     12     86.5426
0.008     12     86.5426
0.0081     12     86.5426
0.0082     12     86.5426
0.0083     12     86.5426
0.0084     12     86.5426
0.0085     12     86.5426
0.0086     12     86.5426
0.0087     12     86.5426
0.0088     12     86.5426
0.0089     12     86.5426
0.009     12     86.5426
0.0091     12     86.5426
0.0092     12     86.5426
0.0093     12     86.5426
0.0094     12     86.5426
0.0095     12     86.5426
0.0096     12     86.5426
0.0097     12     86.5426
0.0098     12     86.5426
0.0099     12     86.5426
0.01     12     86.5426
0.0101     12     86.5426
0.0102     12     86.5426
0.0103     12     86.5426
0.0104     12     86.5426
0.0105     12     86.5426
0.0106     12     86.5426
0.0107     12     86.5426
0.0108     12     86.5426
0.0109     12     86.5426
0.011     12     86.5426
0.0111     12     86.5426
0.0112     12     86.5426
0.0113     12     86.5426
0.0114     12     86.5426
0.0115     12     86.5426
0.0116     12     86.5426
0.0117     12     86.5426
0.0118     12     86.5426
0.0119     12     86.5426
0.012     12     86.5426
0.0121     12     86.5426
0.0122     12     86.5426
0.0123     12     86.5426
0.0124     12     86.5426
0.0125     12     86.5426
0.0126     12     86.5426
0.0127     12     86.5426
0.0128     12     86.5426
0.0129     12     86.5426
0.013     12     86.5426
0.0131     12     86.5426
0.0132     12     86.5426
0.0133     12     86.5426
0.0134     12     86.5426
0.0135     12     86.5426
0.0136     12     86.5426
0.0137     12     86.5426
0.0138     12     86.5426
0.0139     12     86.5426
0.014     12     86.5426
0.0141     12     86.5426
0.0142     12     86.5426
0.0143     12     86.5426
0.0144     12     86.5426
0.0145     12     86.5426
0.0146     12     86.5426
0.0147     12     86.5426
0.0148     12     86.5426
0.0149     12     86.5426
0.015     12     86.5426
0.0151     12     86.5426
0.0152     12     86.5426
0.0153     12     86.5426
0.0154     12     86.5426
0.0155     12     86.5426
0.0156     12     86.5426
0.0157     11     173.527
0.0158     11     173.527
0.0159     11     173.527
0.016     11     173.527
0.0161     11     173.527
0.0162     11     173.527
0.0163     11     173.527
0.0164     11     173.527
0.0165     11     173.527
0.0166     11     173.527
0.0167     11     173.527
0.0168     11     173.527
0.0169     11     173.527
0.017     11     173.527
0.0171     11     173.527
0.0172     11     173.527
0.0173     11     173.527
0.0174     11     173.527
0.0175     11     173.527
0.0176     11     173.527
0.0177     11     173.527
0.0178     11     173.527
0.0179     11     173.527
0.018     11     173.527
0.0181     11     173.527
0.0182     11     173.527
0.0183     11     173.527
0.0184     11     173.527
0.0185     11     173.527
0.0186     11     173.527
0.0187     11     173.527
0.0188     11     173.527
0.0189     11     173.527
0.019     11     173.527
0.0191     11     173.527
0.0192     11     173.527
0.0193     11     173.527
0.0194     11     173.527
0.0195     11     173.527
0.0196     11     173.527
0.0197     11     173.527
0.0198     11     173.527
0.0199     11     173.527
0.02     11     173.527
0.0201     11     173.527
0.0202     11     173.527
0.0203     11     173.527
0.0204     11     173.527
0.0205     11     173.527
0.0206     11     173.527
0.0207     11     173.527
0.0208     11     173.527
0.0209     11     173.527
0.021     11     173.527
0.0211     11     173.527
0.0212     11     173.527
0.0213     11     173.527
0.0214     11     173.527
0.0215     11     173.527
0.0216     11     173.527
0.0217     11     173.527
0.0218     11     173.527
0.0219     11     173.527
0.022     11     173.527
0.0221     11     173.527
0.0222     11     173.527
0.0223     11     173.527
0.0224     11     173.527
0.0225     11     173.527
0.0226     11     173.527
0.0227     11     173.527
0.0228     11     173.527
0.0229     11     173.527
0.023     11     173.527
0.0231     11     173.527
0.0232     11     173.527
0.0233     11     173.527
0.0234     11     173.527
0.0235     11     173.527
0.0236     11     173.527
0.0237     11     173.527
0.0238     11     173.527
0.0239     11     173.527
0.024     11     173.527
0.0241     11     173.527
0.0242     11     173.527
0.0243     11     173.527
0.0244     11     173.527
0.0245     11     173.527
0.0246     11     173.527
0.0247     11     173.527
0.0248     11     173.527
0.0249     11     173.527
0.025     11     173.527
0.0251     11     173.527
0.0252     11     173.527
0.0253     11     173.527
0.0254     11     173.527
0.0255     11     173.527
0.0256     11     173.527
0.0257     11     173.527
0.0258     11     173.527
0.0259     11     173.527
0.026     11     173.527
0.0261     11     173.527
0.0262     11     173.527
0.0263     11     173.527
0.0264     11     173.527
0.0265     11     173.527
0.0266     11     173.527
0.0267     11     173.527
0.0268     11     173.527
0.0269     11     173.527
0.027     11     173.527
0.0271     11     173.527
0.0272     11     173.527
0.0273     11     173.527
0.0274     11     173.527
0.0275     11     173.527
0.0276     11     173.527
0.0277     11     173.527
0.0278     11     173.527
0.0279     11     173.527
0.028     11     173.527
0.0281     11     173.527
0.0282     11     173.527
0.0283     11     173.527
0.0284     11     173.527
0.0285     11     173.527
0.0286     11     173.527
